2025-08-08 17:12:39, 27.33, 0.38, 58.06, 592.43, 0.046, 5.59
2025-08-11 14:12:05, 22.33, 15.45, 53.22, 511.49, 0.0312, 5.15
2025-08-11 14:12:25, 27.83, 20.1, 53.26, 547.73, 0.0475, 6.51
2025-08-11 14:12:30, 22.57, 11.53, 58.95, 529.9, 0.0906, 6.97
2025-08-11 14:12:33, 23.9, 1.41, 50.2, 500.91, 0.0673, 4.5
2025-08-11 14:12:38, 23.83, 5.25, 52.44, 560.83, 0.0377, 5.5
2025-08-11 14:12:43, 20.7, 12.39, 55.26, 658.56, 0.0251, 4.07
2025-08-11 14:37:10, 21.87, 7.51, 59.65, 664.06, 0.0947, 6.25
2025-08-11 14:37:12, 27.34, 8.6, 57.17, 642.62, 0.0845, 5.03
2025-08-11 14:37:13, 23.95, 20.81, 55.08, 551.87, 0.0743, 6.02
2025-08-11 14:42:51, 27.57, 5.37, 52.21, 600.33, 0.0343, 4.32
2025-08-11 14:45:31, 24.61, 4.88, 57.26, 611.3, 0.0296, 6.71
2025-08-11 14:45:39, 28.66, 1.06, 57.54, 641.97, 0.0298, 4.25
2025-08-11 14:45:44, 28.55, 7.76, 58.35, 594.0, 0.0674, 4.05
2025-08-11 14:45:47, 25.71, 7.24, 58.73, 536.95, 0.0769, 5.0
2025-08-11 14:45:52, 18.34, 18.2, 55.77, 708.5, 0.096, 6.51
2025-08-11 14:48:04, 21.63, 16.33, 59.64, 628.21, 0.078, 4.19
2025-08-11 14:48:10, 22.38, 1.24, 59.73, 689.66, 0.0854, 5.55
2025-08-11 14:48:24, 25.21, 0.42, 50.65, 563.97, 0.0736, 6.13
2025-08-11 14:49:16, 18.2, 17.18, 56.29, 542.28, 0.0264, 4.42
2025-08-11 14:49:21, 19.39, 1.97, 57.68, 604.76, 0.0298, 4.47
2025-08-11 14:49:25, 18.93, 7.0, 51.25, 557.76, 0.0654, 5.2
2025-08-11 14:49:28, 26.47, 10.73, 57.19, 534.07, 0.0302, 6.55
2025-08-11 14:49:32, 22.81, 9.89, 50.75, 541.58, 0.0683, 4.36
2025-08-11 14:49:34, 27.72, 2.16, 54.95, 633.01, 0.0791, 5.4
2025-08-11 14:51:06, 19.14, 13.28, 53.38, 629.49, 0.0354, 5.78
2025-08-11 14:51:14, 20.71, 19.8, 51.03, 559.96, 0.0728, 6.01
2025-08-11 14:51:18, 19.51, 11.14, 55.33, 651.2, 0.0235, 6.34
2025-08-11 14:54:23, 25.83, 20.26, 55.87, 529.83, 0.0352, 6.75
2025-08-11 14:54:29, 26.43, 14.79, 59.78, 552.93, 0.0427, 5.6
2025-08-11 14:54:36, 18.83, 2.72, 52.76, 605.95, 0.0638, 4.95
2025-08-11 15:09:16, 19.58, 6.47, 56.57, 639.38, 0.063, 6.14
2025-08-11 15:09:17, 21.79, 8.4, 50.99, 684.84, 0.0874, 6.21
2025-08-11 15:09:22, 20.81, 0.87, 58.43, 595.2, 0.0858, 5.97
2025-08-11 15:09:27, 18.39, 9.9, 58.91, 672.54, 0.0708, 5.57
2025-08-11 15:09:32, 25.41, 6.93, 56.86, 567.93, 0.095, 4.64
2025-08-11 15:09:37, 26.1, 9.33, 58.29, 642.92, 0.0952, 5.87
2025-08-11 15:09:42, 18.99, 0.92, 59.18, 587.66, 0.0857, 5.5
2025-08-11 15:09:47, 25.29, 16.83, 50.69, 581.62, 0.0438, 4.13
2025-08-11 15:09:52, 18.89, 10.83, 50.7, 516.09, 0.0219, 6.96
2025-08-11 15:09:57, 22.73, 14.86, 58.81, 642.43, 0.0804, 4.54
2025-08-11 15:10:02, 22.4, 11.48, 57.94, 701.87, 0.055, 4.35
2025-08-11 15:10:07, 21.51, 6.13, 55.78, 548.8, 0.0494, 5.51
2025-08-11 15:10:12, 26.83, 10.28, 52.02, 698.9, 0.0665, 4.93
